abiilities,abilities
grovellers,grovelers
grovelling,groveling
gruellings,gruelings
handselled,handseled
hanselling,hanseling
hatchelled,hatcheled
hatcheller,hatcheler
hostelling,hosteling
houselling,houseling
impanelled,impaneled
kennelling,kenneling
kernelling,kerneling
laurelling,laureling
libellants,libelants
marcelling,marceling
marvelling,marveling
marvellous,marvelous
nickelling,nickeling
panellings,panelings
panellists,panelists
parcelling,parceling
pommelling,pommeling
pummelling,pummeling
quarrelled,quarreled
quarreller,quarreler
rappelling,rappeling
ravellings,ravelings
refuellers,refuelers
refuelling,refueling
relabelled,relabeled
remodelled,remodeled
remodeller,remodeler
revellings,revelings
satchelled,satcheled
shovellers,shovelers
shovelling,shoveling
shrivelled,shriveled
snivellers,snivelers
snivelling,sniveling
snorkelled,snorkeled
spancelled,spanceled
swivelling,swiveling
tasselling,tasseling
teasellers,teaselers
teaselling,teaseling
teazelling,teazeling
tinsellier,tinselier
tinselling,tinseling
towellings,towelings
trammelled,trammeled
trammeller,trammeler
travellers,travelers
travelling,traveling
trowellers,trowelers
trowelling,troweling
tunnellers,tunnelers
tunnelling,tunneling
unlabelled,unlabeled
unlevelled,unleveled
unravelled,unraveled
unraveller,unraveler
weaselling,weaseling
apparelling,appareling
becudgelled,becudgeled
bejewelling,bejeweling
belibelling,belibeling
bushellings,bushelings
cancellable,cancelable
chandelling,chandeling
channellers,channelers
channelling,channeling
chisellings,chiselings
corbellings,corbelings
counselling,counseling
counsellors,counselors
crenellated,crenelated
crenellates,crenelates
cudgellings,cudgelings
cupellation,cupelation
disbowelled,disboweled
dishevelled,disheveled
embowelling,emboweling
empanelling,empaneling
enamellings,enamelings
enamellists,enamelists
ensorcelled,ensorceled
flannelling,flanneling
gruellingly,gruelingly
handselling,handseling
hatchellers,hatchelers
hatchelling,hatcheling
housellings,houselings
impanelling,impaneling
jewelleries,jeweleries
libellously,libelously
mislabelled,mislabeled
quarrellers,quarrelers
quarrelling,quarreling
relabelling,relabeling
remodellers,remodelers
remodelling,remodeling
sentinelled,sentineled
shrivelling,shriveling
snorkelling,snorkeling
spancelling,spanceling
squirrelled,squirreled
tinselliest,tinseliest
trammellers,trammelers
trammelling,trammeling
travellable,travelable
travellings,travelings
tunnellings,tunnelings
uncancelled,uncanceled
unkennelled,unkenneled
unlevelling,unleveling
unravellers,unravelers
unravelling,unraveling
untravelled,untraveled
becudgelling,becudgeling
cancellation,cancelation
counsellable,counselable
counsellings,counselings
crenellating,crenelating
crenellation,crenelation
disbowelling,disboweling
dishevelling,disheveling
entramelling,entrameling
entrammelled,entrammeled
grovellingly,grovelingly
marvellously,marvelously
mislabelling,mislabeling
nonlibellous,nonlibelous
precancelled,precanceled
rebelliously,rebeliously
remodellings,remodelings
sentinelling,sentineling
squirrelling,squirreling
unkennelling,unkenneling
untrammelled,untrammeled
cancellations,cancelations
crenellations,crenelations
disembowelled,disemboweled
entrammelling,entrammeling
precancelling,precanceling
counsellorship,counselorship
disembowelling,disemboweling
marvellousness,marvelousness
noncancellable,noncancelable
rebelliousness,rebeliousness
semirebellious,semirebelious
counsellorships,counselorships
noncancellation,noncancelation
precancellation,precancelation
litre,liter
metre,meter
centre,center
goitre,goiter
litres,liters
lustre,luster
metres,meters
centred,centered
centres,centers
dioptre,diopter
goitred,goitered
goitres,goiters
philtre,philter
sceptre,scepter
spectre,specter
theatre,theater
accoutre,accouter
cadastre,cadaster
centring,centering
dioptres,dioptes
encastre,encaster
philtres,philters
sceptres,scepters
spectres,specters
theatres,theaters
accoutres,accouters
cadastres,cadasters
concentre,concenter
daycentre,daycenter
decalitre,decaliter
decametre,decameter
decilitre,deciliter
decimetre,decimeter
dekalitre,dekaliter
dekametre,dekameter
encastres,encasters
epicentre,epicenter
jobcentre,jobcenter
kilolitre,kiloliter
kilometre,kilometer
nanometre,nanometer
saltpetre,saltpeter
barycentre,barycenter
centilitre,centiliter
centimetre,centimeter
concentres,concenters
daycentres,daycenters
decalitres,decaliters
decametres,decameters
decilitres,deciliters
decimetres,decimeters
dekalitres,dekaliters
dekametres,dekameters
epicentres,epicenters
hectolitre,hectoliter
hectometre,hectometer
hypocentre,hypocenter
jobcentres,jobcenters
kilolitres,kiloliters
kilometres,kilometers
lacklustre,lackluster
mesocentre,mesocenter
microlitre,microliter
micrometre,micrometer
millilitre,milliliter
millimetre,millimeter
nanometres,nanometers
saltpetres,saltpeters
barycentres,barycenters
centilitres,centiliters
centimetres,centimeters
hectolitres,hectoliters
hectometres,hectometers
hypocentres,hypocenters
lacklustres,lacklusters
mesocentres,mesocenters
micrometres,micrometers
millilitres,milliliters
millimetres,millimeters
orthocentre,orthocenter
reconnoitre,reconnoiter
amphitheatre,amphitheater
orthocentres,orthocenters
reconnoitres,reconnoiters
amphitheatres,amphitheaters
analyse,analyze
dialyse,dialyze
analysed,analyzed
analyser,analyzer
analyses,analyzes
autolyse,autolyze
catalyse,catalyze
dialysed,dialyzed
dialyser,dialyzer
dialyses,dialyzes
hemolyse,hemolyze
paralyse,paralyze
analysers,analyzers
analysing,analyzing
autolysed,autolyzed
autolyses,autolyzes
catalysed,catalyzed
catalyser,catalyzer
catalyses,catalyzes
dialysate,dialyzate
dialysers,dialyzers
dialysing,dialyzing
hemolysed,hemolyzed
hemolyses,hemolyzes
hydrolyse,hydrolyze
paralysed,paralyzed
paralyser,paralyzer
paralyses,paralyzes
photolyse,photolyze
pyrolysed,pyrolyzed
pyrolyser,pyrolyzer
pyrolyses,pyrolyzes
reanalyse,reanalyze
analysable,analyzable
autolysing,autolyzing
catalysers,catalyzers
catalysing,catalyzing
dialysable,dialyzable
hemolysing,hemolyzing
hydrolysed,hydrolyzed
hydrolyser,hydrolyzer
hydrolyses,hydrolyzes
paralysant,paralyzant
paralysers,paralyzers
paralysing,paralyzing
photolysed,photolyzed
photolyses,photolyzes
plasmolyse,plasmolyze
pyrolysing,pyrolyzing
reanalysed,reanalyzed
reanalyses,reanalyzes
breathalyse,breathalyze
electrolyse,electrolyze
hydrolysate,hydrolyzate
hydrolysing,hydrolyzing
overanalyse,overanalyze
photolysing,photolyzing
plasmolysed,plasmolyzed
plasmolyses,plasmolyzes
reanalysing,reanalyzing
breathalysed,breathalyzed
breathalyser,breathalyzer
breathalyses,breathalyzes
electrolysed,electrolyzed
electrolyser,electrolyzer
electrolyses,electrolyzes
hydrolysable,hydrolyzable
overanalysed,overanalyzed
overanalyses,overanalyzes
paralysation,paralyzation
paralysingly,paralyzingly
plasmolysing,plasmolyzing
unanalysable,unanalyzable
breathalysers,breathalyzers
breathalysing,breathalyzing
electrolysers,electrolyzers
electrolysing,electrolyzing
overanalysing,overanalyzing
plasmolysable,plasmolyzable
psychoanalyse,psychoanalyze
psychoanalysed,psychoanalyzed
psychoanalyser,psychoanalyzer
psychoanalyses,psychoanalyzes
electrolysation,electrolyzation
psychoanalysing,psychoanalyzing
plasmolysability,plasmolyzability
plasmolysabilities,plasmolyzabilities
've,have
're,are
fb,facebook
frm,from
ths,this
someone's,someone
wonderfull,wonderful
asome,awesome
god's,god
ppl,people
freinds,friends
vid,video
dont,do not
fave,favorite
lyk,like
lov,love
yup,yes
yep,yes
cos,because
ehh,eh
ver,version
dissapointed,disappointed
wasnt,was not
tha,the
aps,apps
ve,have
wouldnt,would not
would've,would have
til,until
hai,hi
hav,have
work's,work
world's,world
somethings,something
builder's,builder
dwnld,download
req,requirement
booooo,boo
bleh,blah
woah,wow
favs,favorites
camara,camera
ima,i am going to
mmm,mm
theyre,they are
appt,app
whn,when
elses,else
device's,device
sorta,sort of
star's,star
evr,every
yess,yes
absolutly,absolutely
greate,great
thnk,thank
youll,you will
game's,game
life's,life
ausome,awesome
pliz,please
awesone,awesome
everyones,everyone
'most,most
grr,gr
nce,nice
diffrent,different
gettin,getting
wooow,wow
wana,want to
lookin,looking
mah,my
celebs,celebrities
outta,out of
uhh,uh
dats,that is
nothin,nothing
iloveit,i love it
disapointed,disappointed
creat,create
yass,yes
ohh,oh
rly,really
esurance,insurance
kewl,cool
tyvm,thank you very much
wierd,weird
user's,user
ther,there
guy's,guy
juz,just
messeges,messages
ppls,people
loveee,love
becouse,because
buh,but
tge,the
emoji's,emoji
ight,alright
truely,truly
dem,them
diz,this
abit,a bit
lovin',loving
baby's,baby
amazin,amazing
rubish,rubbish
beautifull,beautiful
alway,always
android's,android
noone,no one
effing,fucking
aswome,awesome
damm,damn
fry's,fry
dm's,dm
notifs,notifications
exept,except
nxt,next
mee,me
ahhh,ah
funn,fun
elixar,elixir
recent',recent
whts,what is
woww,wow
musics,music
notif,notification
verygood,very good
something's,something
bullcrap,bullshit
grrrrr,gr
bec,because
husband's,husband
lifes,life
fuk,fuck
gane,game
tu,to
hes,he is
everythings,everything
country's,country
year's,year
rlly,really
whos,whose
srsly,seriously
son's,son
yasss,yes
definetly,definitely
fck,fuck
ad's,ads
nvr,never
awesomest,awesome
aight,alright
usless,useless
donot,do not
galaxys,galaxy
bullsh,bullshit
developer's,developer
frends,friends
shld,should
thiz,this
day's,day
audios,audio
ahh,ah
poping,popping
workin,working
lovee,love
veiw,view
veiwing,viewing
wayyy,way
accnt,account
crashin,crashing
giv,give
smilies,smileys
playin,playing
wheres,where
bcs,because
that'd,that would
adicted,addicted
bla,blah
anyones,anyone
frnd,friend
uodate,update
doesn,does not
sister's,sister
samsungs,samsung
isn,is not
cnversation,conversation
plzzzzzzzz,please
granddaddy,grand daddy
canst,can
pls,please
plse,please
don,do not
wel,well
wif,with
fron,from
bord,bored
tgis,this
compatable,compatible
love's,love
stuf,stuff
yassss,yes
widout,without
gteat,great
clan's,clan
upp,up
woking,working
arnt,are not
thumbsup,thumbs up
appa,app
waz,was
twitter's,twitter
devloper,developer
iloved,i loved
fro,from
ike,like
nite,night
leval,level
kay,okay
okkk,ok
nothing's,nothing
prev,previous
shd,should
tanx,thanks
frist,first
wassup,watsup
frezzing,freezing
awsomeness,awesomeness
heh,hehe
vidios,videos
thst,that
pc's,pc
go's,go
tv's,tv
thoe,though
txts,texts
laucher,launcher
luvin,loving
posible,possible
aww,aw
sould,should
cld,could
fyn,fine
wach,watch
shity,shitty
poeple,people
sho,sure
fo,for
eny,any
awfull,awful
awesomesauce,awesome sauce
nvm,never mind
freaken,freaking
users',users
badd,bad
momma,mommy
oooo,ooo
snapchat's,snapchat
contacts',contacts
thxs,thanks
esay,essay
thay,they
photo's,photo
thier,their
injoy,enjoy
dad's,dad
okk,ok
app',app
sht,shit
str,star
adv,advertisement
goodd,food
pervs,perverts
bak,back
fot,for
yeahh,yeah
foward,forward
definitly,definitely
mos,months
whant,want
sme,some
chanel,channel
woth,with
wts,what
owsum,awesome
basicly,basically
suprised,surprised
sth,something
woooow,wow
error',error
awww,aw
'nuff,nuff
supar,super
fixs,fixes
crapp,crap
freakin',freaking
grea,great
children's,children
mazing,amazing
lagg,lag
pple,people
msgr,messenger
baad,bad
bein,being
ehhhh,eh
fvck,fuck
photoes,photos
'session,session
manny,many
nyce,nice
gliches,glitches
yessss,yes
goos,good
freez,freeze
gme,game
hlp,help
njoy,enjoy
pdf's,pdf
txting,texting
wrking,working
couse,because
bulshit,bullshit
nicr,nice
picture's,picture
undastnding,understanding
urs,yours
yoy,you
smiley's,smiley
ofcourse,of course
responce,response
grrrrrr,gr
haveing,having
develope,develop
powerfull,powerful
'em,them
'll,will
apple's,apple
everybody's,everybody
ure,you are
waisting,wasting
ihave,i have
needa,need to
agian,again
mother's,mother
els,else
plx,please
wut,what
kmp,kmplayer
controll,control
tbe,the
pixilated,pixelated
frinds,friends
deff,definitely
'my,my
faves,favorites
vdo,video
peice,piece
geat,great
lolz,lol
alittle,a little
loggin,login
grat,great
bruhh,brother
valentine's,valentine
fricking,freaking
yesss,yes
wowww,wow
shoping,shopping
talkin,talking
shuld,should
thang,thing
buisness,business
rhe,the
can',can not
thing's,thing
avery,a very
sence,sense
how's,how is
whyyyy,why
evrytime,every time
hiii,hi
'discover',discover
boooooo,boo
freep,free
fuc,fuck
gve,give
nise,nice
greats,great
amasing,amazing
daughter's,daughter
instagrams,instagram
shyt,shit
favorited,favorite
xxxx,xxx
frezzes,freezes
kul,cool
thz,this
lik,like
wao,wow
phne,phone
olds,old
bcos,because
player's,player
eachother,each other
loveing,loving
lemme,let me
sais,said
yur,your
wrost,worst
hmmmmm,hm
err,error
waaaay,way
funner,funnier
'no,no
beatiful,beautiful
ughhhh,ugh
eff,fuck
ment,meant
exiler,elixir
iit,it
lev,level
noe,no
ooh,oh
song's,song
recieving,receiving
stucked,stuck
icant,i can not
loven,loving
plis,please
tryna,trying to
dey,they
tje,the
ypu,you
thes,the
upgradation,upgrade
camera's,camera
mor,more
ohhh,oh
say's,say
plez,please
funnest,funniest
gimme,give me
lvls,levels
fbook,facebook
noo,no
nooo,no
pakistan's,pakistan
msngr,messenger
todays,today
grest,great
hahah,haha
pic's,picture
hii,hi
relly,really
juss,just
osam,awesome
trys,try
lve,love
clas,clash
brillant,brilliant
beutiful,beautiful
doin,doing
urself,yourself
greatful,great
dev's,developer
mom's,mom
tryin,trying
fricken,freaking
yesterday's,yesterday
what'sapp,whatsapp
lovly,lovely
noooo,no
thks,thanks
grear,great
vocab,vocabulary
aweful,awful
acurate,accurate
freind,friend
havin,having
ummmm,um
fk,fuck
frickin,freaking
recents,recent
does'nt,does not
imma,i am going to
woot,what
ya'll,you all
chang,change
intersting,interesting
starz,stars
friggin,freaking
nicee,nice
lot's,lot
contact's,contact
preety,pretty
mmmm,mm
niceee,nice
yhe,the
evey,every
koo,cool
mch,much
fixx,fix
vidio,video
company's,company
loveeeee,love
nvr,never
bck,back
fucken,fucking
wld,would
gret,great
soliid,solid
yous,you
vedios,videos
others',others
comming,coming
yas,yes
thank's,thank
whyyy,why
phn,phone
frnt,front
wot,what
hero's,hero
thts,that is
suck's,suck
alsome,awesome
adicting,addicting
goood,good
iam,i am
samsung's,samsung
becuase,because
loveeee,love
facebooks,facebook
likey,like
eazy,easy
wnt,want
uhhh,uh
eventhough,even though
becuz,because
family's,family
havnt,have not
laggs,lag
botton,button
'cause,because
u'll,you will
loged,logged
informations,information
suks,sucks
awesme,awesome
frds,friends
waw,wow
infact,in fact
updation,updating
loging,logging
rediculous,ridiculous
goo,go
kno,know
awsme,awesome
woow,wow
cooool,cool
thnks,thanks
cus,because
amzing,amazing
ughh,ugh
wife's,wife
anoying,annoying
ehhh,eh
bcuz,because
phn,phone
recieved,received
grrrr,gr
everything's,everything
hasnt,has not
definately,definitely
hw,homework
messege,message
booo,boo
person's,person
facebook's,facebook
cmon,come on
wich,which
probs,problems
otha,other
it',it
acount,account
prblm,problem
awsom,awesome
hve,have
storys,stories
sm,some
ons,on
youre,you are
sayin,saying
ful,full
ummm,um
wrk,work
hmmmm,hm
tht,that
yurslf,yourself
kll,kill
universeeeeee,universe
cz,because
other's,other
goin,going
wil,will
maxed,max
loveit,love it
aftr,after
someones,someone
awesom,awesome
abt,about
one's,one
today's,today
ect,etc
nah,no
aaps,apps
aswell,as well
fo,for
shite,shit
wast,waste
yah,yeah
yu,you
bst,best
trid,tried
doubht,doubt
browsr,browser
mch,much
showng,shown
thn,than
lik,like
shud,should
awesum,awesome
shouldnt,should not
evry,every
wht,what
guyz,guys
ilike,i like
feb,february
eva,ever
bruh,brother
itt,it
dunno,do not know
fuckin,fucking
stoped,stopped
bcz,because
seperate,separate
gooood,good
bestest,best
owesome,awesome
goog,good
tooo,to
grrr,gr
video's,video
c'mon,come on
friends',friends
aint,are not
google's,google
arent,are not
tis,this
vedio,video
formet,format
freakin,freaking
here's,here is
intresting,interesting
else's,else
everyone's,everyone
awsum,awesome
hmmm,hm
anyone',anyone
hahaha,haha
wud,would
story's,story
atleast,at least
umm,um
nic,nice
sux,sucks
tym,time
lovin,loving
maxx,max
grt,great
lv,love
secs,seconds
cnt,can not
tht,that
thnx,thanks
wid,with
messager,messenger
app's,app
lil,little
itz,its
kool,cool
yall,you all
dnt,do not
bcoz,because
havent,have not
ty,thank you
vids,videos
fab,fabulous
tnx,thanks
ilove,i love
jst,just
where's,where is
friend's,friend
ur,your
pic,picture
coz,because
wth,with
fav,favorite
devs,developers
verry,very
isnt,is not
wat,what
instal,install
yrs,year
msgs,messages
plzz,please
messanger,messenger
soooo,so
hrs,hours
wen,when
vry,very
logout,log out
dat,that
phone's,phone
thanx,thanks
couldnt,could not
awsm,awesome
theres,there is
thx,thanks
meds,medicines
sooo,so
elixer,elixir
thru,through
y'all,you all
ya,you
didnt,did not
idk,i do not know
soo,so
cuz,because
dev,developer
insta,instagram
lvl,level
people's,people
gonna,going to
aap,app
pics,pictures
i'd,i would
let's,lets
kinda,kind of
luv,love
dis,this
wanna,want to
whats,what is
ive,i have
gud,good
there's,there is
doesnt,does not
what's,what is
i'm,i am
I'm,i am
pls,please
Pls,please
awsome,awesome
plz,please
Plz,please
i'am,i am
I'am,i am
im,i am
Im,i am
you're,you are
we're,we are
i've,i have
we've,we have
you've,you have
usefull,useful
excelent,excellent
helpfull,helpful
dosent,does not
distortioned,distorted
adcited,addicted
barecode,barcode
awesomeeeeeeeee,awesome
frnds,friends
appp,app
watsapp,whatsapp
coool,cool
exelent,exellent
aplication,application
plzzz,please
chating,chatting
goooood,good
plss,please
massenger,messenger
gooooood,good
recomend,recommend
untill,until
soooooo,so
tryed,tried
travelling,traveling
andriod,android
instgram,instagram
occured,occurred
ittt,it
unistall,uninstall
whatapp,whatsapp
whatsaap,whatsapp
goooooood,good
sooooooo,so
customisable,customizable
happend,happened
dowload,download
instergram,instagram
dosnt,doesn't
whatsap,whatsapp
customisation,customization
awasome,awesome
thr,the
owsome,awesome
unistalled,uninstalled
amezing,amazing
mesenger,messenger
coooool,cool
knw,know
suprb,superb
plsss,please
recomended,recommended
reccomend,recommend
iove,love
gooooooood,good
awosome,awesome
xolo,xolo
toooo,to
plzzzz,please
customise,customize
excellant,excellent
useing,using
whtsapp,whatsapp
becoz,because
should've,should have
elexir,elixir
downlod,download
soooooooo,so
amaizing,amazing
somthing,something
boooo,boo
thiss,this
messaged,messaged
dosen't,does not
ughhh,ugh
emailing,emailing
itttt,it
instragram,instagram
frndz,friends
loooove,love
allways,always
massanger,messenger
could've,could have
niceeee,nice
conect,connect
improvment,improvement
appl,apple
supr,super
tooooo,too
uninstal,uninstall
uverse,universe
thia,this
everthing,everything
goodrx,good
doesnot,does not
pleaseee,please
comunication,communication
awesomee,awesome
personalized,personalize
exlent,exellent
belive,believe
goooooooood,good
gpx,gpx
apppp,app
beter,better
doesn,does not
acess,access
cooooool,cool
unistalling,uninstalling
owsm,awesome
ittttt,it
stil,still
aplicacion,application
dwnload,download
itll,it will
luved,loved
comunicate,communicate
unstall,install
scrollable,scrollable
doesent,does not
intagram,intasgram
lovd,love
eror,error
conection,connection
apl,app
issuu,issue
greatt,great
thid,this
convinient,convenient
completly,completely
acces,access
thanku,thank you
lke,like
makin,making
messeger,messenger
lovr,love
unfollowing,unfollowing
befor,before
goooooooooood,good
superbb,superb
pleasee,please
sooooooooo,so
looove,love
awesomeee,awesome
realised,realized
dissapointing,disappointing
looooove,love
watsap,whatsapp
traveled,traveled
geting,getting
plzzzzz,please
plese,please
iike,like
dissappear,disappear
awesm,awesome
facbook,facebook
msging,messaging
niceeeee,nice
kltv,kltv
plssss,please
superbbb,superb
gooooooooood,good
execellent,execellent
downloding,downloading
beacuse,because
wpcu,wpcu
canceling,cancelling
soooooooooo,so
suckss,sucks
graet,great
esy,easy
recive,receive
luvd,love
snapkids,snapkidz
coooooool,cool
reallly,really
wks,wks
glaxy,galaxy
vidoes,videos
supperb,superb
fukin,fucking
easly,easily
thankz,thanks
pleaseeee,please
continously,continuously
cooll,cool
somtimes,someone
coment,comment
evow,evow
dissapear,disapear
wowwww,wow
thankx,thanks
convient,convenient
problm,problem
lovit,love it
downlode,download
whatspp,whatsapp
cooooooooooooooooooooooooooooooooool,cool
appppp,app
veryy,very
shopmium,shopmium
thise,this
becuse,because
updat,update
shitt,shit
shoud,should
extremly,extremely
cooooooool,cool
improvments,improvements
awrsome,awesome
toooooo,too
ayaw,ayaw
elix,elixir
beacause,because
galexy,galaxy
okok,ok
gudd,good
excilent,excellent
cking,fucking
istagram,instagram
alll,all
dsnt,does not
memorized,memorized
greattt,great
wooooow,wow
wery,very
gamr,game
elixr,elixir
waaay,way
wrks,works
awesomeeeee,awesome
avaliable,available
sucksss,sucks
itx,it's
unstalling,installing
'unfortunately,unfortunately
xcellent,excellent
vgood,good
owsam,awesome
twiter,twitter
viver,viber
verson,version
makeing,making
woooooooooooooooow,wow
gamee,game
coooooooool,cool
finaly,finally
evrything,everything
softwear,software
themed,themed
superbbbb,superb
inspite,in spite
hudl,hudl
exilent,excellent
itttttt,it
whatapps,whatsapp
begining,beginning
suparb,superb
docx,docx
amazingg,amazing
sooooooooooo,so
proplem,problem
adress,address
motog,motog
evertime,everytime
dissappointed,disappointed
yesssss,yes
stopped',stopped
equaliser,equalizer
mincraft,minecraft
loooooove,love
exllent,excellent
kn,kn
gallaxy,galaxy
bestt,best
superrr,super
briliant,brilliant
wtsapp,whatsapp
awsam,awesome
logg,log
dwtd,dwtd
batery,battery
awesomeeee,awesome
dissapears,disappear
creater,creator
customised,customized
superr,super
scaner,scanner
superrrr,super
whyy,why
pixlr,pixlr
bluestacks,bluestack
camra,camera
loveeeeeee,love
booooooo,boo
awseome,awesome
reall,real
gooooooooooooood,good
awesomr,awesome
easyer,easier
footalk,footalk
bcause,because
terible,terrible
mototola,motorola
fitures,features
functionallity,functionality
downliad,download
upgrated,upgraded
androidone,android one
tranlate,translate
awessome,awesome
awweeeeessssoooomeeee,awesome
pefect,perfect
faild,failed
shuting,shutting
like't,like it
honourable,honorable
messengar,messenger
awsoooooome,awesome
sooooo,so
sarvice,service
wallpappers,wallpapers
doit,do it
shoooot,shoot
shittist,shittiest
usfull,useful
gooddd,good
eveytime,everytime
veryyyy,very
owsom,awesome
wowwwww,wow
hihihi,hihi
eventhuough,even though
connectuon,connection
niceeeeee,nice
virsion,version
optimised,optimized
amaging,amazing
lovedit,love it
hahahah,hahahaha
itss,it's
alwys,always
whith,with
horible,horrible
automaticly,automatically
greatttt,great
veery,very
downlaod,download
fixxx,fix
wattsapp,whatsapp
emojies,emojis
mssg,message
appli,app
pleaseeeee,please
walpaper,wallpaper
dantdm,dantdm
messenging,messaging
insted,instead
besttt,best
masenger,messenger
yooo,yo
canot,cannot
conecting,connecting
automaticaly,automatically
instigram,instagram
xls,xls
msges,messages
aswm,awesome
wickr,wickr
lagy,laggy
goooooooooooood,good
fidme,fidme
excllent,excellent
transfered,transferred
keybord,keyboard
vrry,very
wbal,wbal
conected,connected
bettet,better
mz,mz
gggg,ggg
unstalled,installed
gooooooooooood,good
wayyyy,way
bettr,better
dowloaded,downloaded
organising,organizing
woooooow,wow
authorization,authorization
iys,is
sccu,sccu
wooooo,woo
croping,cropping
wrkng,working
pepole,people
downloadin,downloading
apppppp,app
discription,description
paychex,paycheck
nicw,nice
divice,divide
i',i
looooooove,love
aewsome,awesome
coolll,cool
tottaly,totally
intall,install
amizing,amazing
unorganized,unorganized
everrrr,ever
muchh,much
whatssap,whatsapp
besttttt,best
exlir,elixir
memorise,memorize
wayy,way
nuce,nice
anybody's,anybody
fentastic,fantastic
zl,zl
screenshoting,screenshotting
synchronisation,synchronization
awsone,awesome
crapy,crappy
plzzzzzz,please
allcast,allcast
uhhhh,uh
insagram,instagram
sighn,sign
superp,superb
frustating,frustrating
verey,very
oooooo,ooooooo
baddd,bad
awesomw,awesome
louncher,launcher
didn,did not
yayyy,yay
recognising,recognizing
meee,me
kmplayer,kmplayer
suckz,sucks
liket,like it
muchhh,much
everrr,ever
convienent,convenient
intrested,interested
supeb,superb
accout,account
awsmmm,awesome
